name,time,cpu,host,usage_guest,usage_guest_nice,usage_idle,usage_iowait,usage_irq,usage_nice,usage_softirq,usage_steal,usage_system,usage_user
cpu,2022-08-22 07:55:28.185127,cpu0,host0,0.531995591,0.124968117,0.506653251,0.668473056,0.597976036,0.156537450,0.995149172,0.568313916,0.238084704,0.703324633
cpu,2022-08-22 07:55:28.185127,cpu1,host0,0.436722324,0.023882476,0.994291382,0.086489670,0.646811279,0.001840297,0.008647750,0.419298399,0.540332651,0.293958177
cpu,2022-08-22 07:54:48.185127,cpu0,host0,0.514987871,0.996035170,0.133717150,0.736935706,0.528734452,0.683593970,0.499261359,0.871178603,0.521487938,0.031372115
cpu,2022-08-22 07:55:28.185127,cpu2,host0,0.278110733,0.336781846,0.756964199,0.783728127,0.361512870,0.614719461,0.262405668,0.127864513,0.823320987,0.002540190
cpu,2022-08-22 07:54:48.185127,cpu1,host0,0.140545795,0.792659343,0.953988598,0.881998834,0.923192960,0.537959784,0.875886020,0.921861394,0.796853843,0.472625176
cpu,2022-08-22 07:55:28.185127,cpu3,host0,0.242263524,0.233310624,0.938578703,0.266096247,0.820996879,0.058676448,0.229218494,0.338999851,0.332269804,0.136524113
cpu,2022-08-22 07:54:58.185127,cpu0,host0,0.139211847,0.528699964,0.811981843,0.565143301,0.223949210,0.460630909,0.046512514,0.551612025,0.342190843,0.779620558
cpu,2022-08-22 07:55:28.185127,cpu4,host0,0.173675511,0.209291578,0.554068269,0.320688067,0.248097023,0.752377797,0.366770175,0.720384206,0.848519956,0.827392669
cpu,2022-08-22 07:54:48.185127,cpu2,host0,0.442758653,0.828160477,0.850743385,0.601979664,0.255050649,0.155517134,0.822204058,0.350048823,0.497403017,0.404139749
cpu,2022-08-22 07:54:58.185127,cpu1,host0,0.059631465,0.033734119,0.112531023,0.166872398,0.496321264,0.551123394,0.939005477,0.373546158,0.249570777,0.776896085
cpu,2022-08-22 07:55:28.185127,cpu5,host0,0.459285735,0.558162027,0.150801150,0.522121216,0.474389500,0.577556986,0.211366555,0.762679882,0.809919274,0.247815975
cpu,2022-08-22 07:54:48.185127,cpu3,host0,0.860142951,0.124755696,0.375717310,0.118437912,0.550837941,0.968853339,0.481162499,0.039418727,0.396846765,0.579292985
cpu,2022-08-22 07:54:58.185127,cpu2,host0,0.625067735,0.446232142,0.486925847,0.184386355,0.214179443,0.702325841,0.559703086,0.865899012,0.672833438,0.033415902
cpu,2022-08-22 07:55:28.185127,cpu6,host0,0.626696951,0.073898129,0.771258235,0.982549024,0.796358664,0.339634514,0.294543867,0.764274155,0.230132082,0.237992442
